Key,Value
3,0.4058808506241253
4,0.3509970385960275
5,0.34767335673722544
6,0.34761116070902326
7,0.35281144292277156
8,0.3412232347416088
9,0.3713228183047358
10,0.34822138749482057
11,0.36223742901926803
12,0.3770439803385005
13,0.3815581129676062
14,0.3902167426189258
15,0.3856134505991637
16,0.37358522559663515
17,0.37464925393695925
18,0.36229021793304744
19,0.3673522489899758
20,0.3639636179077861
21,0.37055341653033
22,0.3750745835792634
23,0.353324842848251
24,0.3654680368324569
25,0.36375149024049314
26,0.36182517615229787
27,0.3565524009358935
28,0.3680799523636882
29,0.36787977729723564
30,0.3687800458343815
31,0.36601330360330875
32,0.3668066523946627
33,0.36509951947899405
34,0.3631688907524078
35,0.36199931362759613
36,0.36553012354348
37,0.36634458633935285
38,0.36825107912311
39,0.36839000566355357
40,0.37127580601632726
41,0.3682524828791463
42,0.3672578448541099
43,0.3618719493821776
44,0.3613563124984002
45,0.359674577216512
46,0.3580736382096672
47,0.357848271059835
48,0.3592442196893953
49,0.3572822438051263
50,0.3581501754631526
51,0.35883097902490746
52,0.3585971760872553
53,0.3584957002589021
54,0.35869982058124117
55,0.35500559242682206
56,0.3598999104444984
57,0.35827156471581295
58,0.35833046794056744
59,0.35936972701627956
60,0.3598793571905234
61,0.36068102590716344
62,0.36362137034478226
63,0.3632992176523996
64,0.3651990800572642
65,0.3650993309306477
66,0.36501471357420556
67,0.36380910615531753
68,0.36355546471375033
69,0.36395186057004003
70,0.36193878915333294
71,0.36219220010259956
72,0.3619276497035156
73,0.3619390095179484
74,0.3615091438173997
75,0.3592733834038941
76,0.3592110866327427
77,0.36176014985455474
78,0.36213690210513505
79,0.36261595960050996
80,0.3636286921127129
81,0.3664150503185807
82,0.36636967958159894
83,0.3652794956986977
84,0.36627562644107303
85,0.3652339826547353
86,0.36449752593025786
87,0.365001014646063
88,0.36244305121807435
89,0.36151330072713905
90,0.36246156289440634
91,0.3592134184298793
92,0.36111717967916435
93,0.36207591954915147
94,0.3642397779341997
95,0.36427404633143606
96,0.3631962532845648
97,0.36388744280472696
98,0.36441818928764014
99,0.3659249068115937
100,0.3658356800441238
101,0.3650128155841497
102,0.3658107117137204
103,0.3654450754243018
104,0.3654023357321759
105,0.3678030463606197
106,0.3677370976211154
107,0.367145114398251
108,0.36735655908167314
109,0.3691920119687681
110,0.36957102450752594
111,0.3699262156485938
112,0.3701424541355822
113,0.36726615235931387
114,0.36480248883120286
115,0.3648436734309677
116,0.365838160957832
117,0.3655173002977554
118,0.3652691996701747
119,0.3653187523964856
120,0.3655631480411661
121,0.3633620114207784
122,0.36447767749824467
123,0.3660500666923932
124,0.36626358541994736
125,0.3679504136884805
126,0.36821077826982146
127,0.3662547349225375
128,0.3644065608878391
129,0.3645487882113258
130,0.36434335481075253
131,0.36590166757869264
132,0.365630994119887
133,0.3678018972352796
134,0.3682011761676413
135,0.36835339514723864
136,0.36968856702694797
137,0.3717263646825386
138,0.3711681501484361
139,0.3700546792093017
140,0.3699492470648525
141,0.37098287660031337
142,0.37110931885848114
143,0.37195678192246817
144,0.3717552312731427
145,0.37238128895505385
146,0.3724916749772906
147,0.3716779915415757
148,0.37186156289928624
149,0.37154282640320924
150,0.37187683260633214
151,0.3727401298896733
152,0.37523662701739025
153,0.37531605318389993
154,0.37610548179819964
155,0.37704092494603614
156,0.37699770733515486
157,0.37635267468117956
158,0.3771476474314732
159,0.3773488659047099
160,0.378369759817554
